Date,Open,High,Low,Close,Volume
2021.11.14,64289.2,65332.91,63571.87,64296.98,240721
2021.11.15,64220.28,66339.93,63347.89,63834.84,365613
2021.11.16,63758.79,64016.94,58556.78,60457.21,659037
2021.11.17,60357.53,61165.43,58365.07,60100.21,374505
2021.11.18,60045.88,60994.11,56592.13,57585.34,366966
2021.11.19,57568.84,58384.02,55597.35,57814.32,409825
2021.11.20,57801.35,59685.3,57385.8,59608.89,199460
2021.11.21,59579.39,60057.07,58518.37,59507.07,387407
2021.11.22,59481.5,59557.63,55607.64,56259.26,539106
2021.11.23,56207.1,57869.75,55313.05,57672.47,423935
2021.11.24,57672.47,57748.67,55855.68,57311.3,284244
2021.11.25,57255.95,59450.76,56836.62,58830.86,278016
2021.11.26,58812.36,59345.82,53496.19,53963.8,404478
2021.11.27,53949.59,55308.56,53508.42,54597.72,215062
2021.11.28,54567.91,56422.96,53286.77,56319.42,293354
2021.11.29,56273.03,58902.67,56003.3,58308.63,322347
2021.11.30,58234.87,59237.85,55901.59,57114.86,405036
2021.12.01,57081.14,59086.67,56446.62,56968.32,330520
2021.12.02,56951.28,57411.17,55800.61,56895.04,325444
2021.12.03,56816.43,57675.92,51514.01,53617.59,323459
2021.12.04,53604.59,53874.07,41373.68,48728.86,290418
2021.12.05,48696.37,49770.66,47807.38,49214.7,345225
2021.12.06,49163.86,50591.96,46872.01,50087.14,386708
2021.12.07,50065.87,51958.92,50065.87,50470.48,262905
2021.12.08,50465.43,51238.68,48619.59,50598.98,261470
2021.12.09,50574.31,50830.1,47320.06,47985.25,299427
2021.12.10,47962.18,50103.11,47236.54,47911.48,323452
2021.12.11,47897.25,49243.77,46743.22,48787.22,230081
2021.12.12,48773.29,50791.02,48655.65,49942.67,230546
2021.12.13,49916.03,50374.21,45667.1,46790.88,323714
2021.12.14,46785.38,48653.18,46270.63,48270.47,327378
2021.12.15,48248.87,49502.51,46540.42,49147.36,285496
2021.12.16,49148.88,49435.75,47649.93,48092.55,215790
2021.12.17,48092.55,48122.01,45418.98,46837.16,258093
2021.12.18,46824.43,47312.9,45497.36,46929.25,130629
2021.12.19,46913.34,48274.73,46409.73,46695.04,131726
2021.12.20,46694.58,47554.47,45492.42,46968.23,177947
2021.12.21,46937.31,49333.86,46642.68,49071.38,142440
2021.12.22,49041.99,49568.22,48384.86,49034.95,119043
2021.12.23,49023.01,51369.96,47957.11,50809.8,128759
2021.12.24,50811.3,51904.3,50410.23,50885.91,122770
2021.12.25,50825.03,51155.42,50138.12,50963.81,62910
2021.12.26,50925.92,51054.62,49370.57,50775.14,103230
2021.12.27,50784.07,52110.2,50448.61,50946.23,118719
2021.12.28,50946.23,51225.97,47293.72,47537.44,163368
2021.12.29,47525.66,48154.05,46566.46,47219.71,139960
2021.12.30,47185.04,47920.77,45852.92,47277.77,134536
2021.12.31,47229.99,48594.18,45634.01,46304.99,145484
2022.01.01,46291.02,47953.91,46108.17,47311.5,71458
2022.01.02,47273.94,48002.88,46639.08,46986.76,134266
2022.01.03,46960.29,47577.12,45667.52,45950.26,139854
2022.01.04,45934.41,47519.61,45514.14,46169.58,136267
2022.01.05,46167.16,47061.69,43350.66,43564.58,143433
2022.01.06,43548.04,43781.79,42394.47,43088.46,191007
2022.01.07,43069.56,43231.05,40593,41856.38,188383
2022.01.08,41853.38,42227.76,40493,41740.02,103492
2022.01.09,41739.02,42786.41,41174.05,42283.53,122925
2022.01.10,42247.46,42489.95,39633.02,41717.91,182642
2022.01.11,41717.88,43107.22,41248.5,42646.86,169074
2022.01.12,42628.04,44345.63,42454.18,43770.92,137244
2022.01.13,43771.92,44448.12,42301.29,42785.82,138462
2022.01.14,42797.32,43473.49,41759.99,43299.3,146442
2022.01.15,43248.36,43812.55,42998.97,43306.83,30001
